Index,EmployerName,JobTitle,CaseStatus,NewChgEmp,WageInfo,DecisionDate,StartDate,WorkSite,MoreInfo,College,Citizenship
13,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified - withdrawn,No,104100.00/Year,2020-06-26,2020-12-03,"mclean,VA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9309415,,
24,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,90272.00/Year,2020-06-25,2020-12-15,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9302100,,
3,DELOITTE TOUCHE LLP,ADVISORY SPECIALIST MASTER,certified,No,124051.00/Year,2020-06-24,2020-12-03,"arlington,VA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9353824,,
466,DELOITTE TOUCHE LLP,ASSISTANT MANAGER IN AUDIT,certified,No,47737.00-48000.00/Year,2020-06-18,2020-10-31,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9286239,,
484,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,46966.00/Year,2020-06-18,2020-12-01,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9306278,,
485,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,46966.00/Year,2020-06-18,2020-12-01,"riverwoods,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9379176,,
499,DELOITTE TOUCHE LLP,SENIOR 2/AUDIT & ASSURANCE,certified,No,40227.00-42500.00/Year,2020-06-18,2020-10-30,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9290540,,
500,DELOITTE TOUCHE LLP,SENIOR 2/AUDIT ASSURANCE,certified,No,40227.00-47500.00/Year,2020-06-18,2020-10-31,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9295661,,
48,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE SENIOR,certified,No,79768.00/Year,2020-06-16,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9286552,,
117,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ANALYTICS SPECIALIST SENIOR,certified,No,71510.00/Year,2020-06-16,2020-12-04,"houston,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9375654,,
30,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,87526.00/Year,2020-06-12,2020-08-05,"mclean,VA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9286737,,
2,DELOITTE TOUCHE LLP,ADVISORY MANAGER,certified,No,129314.00/Year,2020-06-09,2020-10-01,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9274288,,
41,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,81224.00/Year,2020-06-08,2020-10-01,"costa mesa,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9281090,,
400,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,53518.00/Year,2020-06-05,2020-08-30,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9277533,,
402,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,53518.00/Year,2020-06-04,2020-10-01,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9349048,,
14,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,104100.00/Year,2020-06-04,2020-10-01,"mclean,VA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9372587,,
134,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,69971.00/Year,2020-06-04,2020-10-01,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9372742,,
82,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,75000.00/Year,2020-06-01,2020-10-01,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9371718,,
235,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-06-01,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9263669,,
299,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT’,certified,No,59634.00/Year,2020-06-01,2020-08-14,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9267117,,
496,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,43742.00/Year,2020-06-01,2020-10-01,"cleveland,OH",https://h1bsalary.online//extended_lca_data.php?LCADataID=9323862,,
432,DELOITTE TOUCHE LLP,AUDIT ASSISTANT,certified,No,51355.00/Year,2020-05-29,2020-10-01,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9262269,,
172,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,64022.00/Year,2020-05-29,2020-10-01,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9265045,,
108,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,72966.00/Year,2020-05-29,2020-10-01,"austin,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9270250,,
29,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,88837.00/Year,2020-05-29,2020-09-06,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9265084,,
38,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,81723.00/Year,2020-05-29,2020-09-15,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9261824,,
63,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-05-29,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9268379,,
44,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,80000.00/Year,2020-05-28,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9370891,,
52,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,77730.00/Year,2020-05-28,2020-10-01,"los angeles,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9262757,,
53,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,77500.00/Year,2020-05-28,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9370873,,
19,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,95638.00/Year,2020-05-28,2020-10-01,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9370811,,
181,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,63419.00/Year,2020-05-28,2020-10-01,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9323018,,
182,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,63419.00/Year,2020-05-28,2020-10-01,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9270550,,
431,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,51355.00/Year,2020-05-28,2020-10-01,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9266350,,
498,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,40290.00/Year,2020-05-28,2020-10-01,"jacksonville,FL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9266211,,
302,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59634.00/Year,2020-05-28,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9347137,,
399,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,53518.00/Year,2020-05-28,2020-10-01,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9263198,,
365,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE IN-CHARGE,certified,No,56472.00/Year,2020-05-27,2020-09-25,"hermitage,TN",https://h1bsalary.online//extended_lca_data.php?LCADataID=9346715,,
34,DELOITTE TOUCHE LLP,ADVISORY SENIOR SOLUTION ENGINEER,certified,No,82742.00/Year,2020-05-27,2020-10-01,"mechanicsburg,PA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9267144,,
183,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,63419.00/Year,2020-05-26,2020-10-01,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9257235,,
370,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,56389.00/Year,2020-05-26,2020-10-01,"detroit,MI",https://h1bsalary.online//extended_lca_data.php?LCADataID=9322366,,
412,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,52270.00/Year,2020-05-26,2020-10-01,"milwaukee,WI",https://h1bsalary.online//extended_lca_data.php?LCADataID=9322382,,
448,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,49566.00/Year,2020-05-26,2020-10-01,"los angeles,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9370193,,
483,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,46966.00/Year,2020-05-26,2020-10-01,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9346451,,
468,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,47736.00/Year,2020-05-22,2020-10-01,"saint louis,MO",https://h1bsalary.online//extended_lca_data.php?LCADataID=9261769,,
319,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ANALYTICS SPECIALIST ASSISTANT,certified,No,59405.00/Year,2020-05-22,2020-10-01,"detroit,MI",https://h1bsalary.online//extended_lca_data.php?LCADataID=9321706,,
352,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,57283.00/Year,2020-05-22,2020-10-01,"costa mesa,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9369650,,
109,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,72000.00/Year,2020-05-22,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9256628,,
90,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,74152.00/Year,2020-05-22,2020-08-26,"atlanta,GA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9331290,,
85,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,74355.00/Year,2020-05-20,2020-10-01,"stamford,CT",https://h1bsalary.online//extended_lca_data.php?LCADataID=9258181,,
123,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,70741.00/Year,2020-05-20,2020-10-01,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9255571,,
62,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-05-20,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9255594,,
22,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,92435.00/Year,2020-05-19,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9252572,,
151,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,67217.00/Year,2020-05-19,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9249342,,
1,DELOITTE TOUCHE LLP,ADVISORY SENIOR MANAGER,certified,No,134930.00/Year,2020-05-18,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9247978,,
330,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59176.00/Year,2020-05-18,2020-08-10,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9303535,,
89,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,74152.00/Year,2020-05-15,2020-10-01,"atlanta,GA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9331270,,
12,DELOITTE TOUCHE LLP,ADVISORY SENIOR MANAGER,certified,No,105634.00/Year,2020-05-14,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9366949,,
476,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,47070.00/Year,2020-05-14,2020-08-26,"nashville,TN",https://h1bsalary.online//extended_lca_data.php?LCADataID=9366917,,
401,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,53518.00/Year,2020-05-13,2020-10-01,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9342830,,
18,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,95638.00/Year,2020-05-13,2020-10-01,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9239224,,
133,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,69971.00/Year,2020-05-13,2020-10-01,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9318693,,
200,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,62650.00/Year,2020-05-13,2020-10-01,"atlanta,GA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9248206,,
232,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-05-13,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9242203,,
233,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-05-13,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9243845,,
234,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-05-11,2020-09-13,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9235593,,
231,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-05-11,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9366083,,
145,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE IN-CHARGE,certified,No,67267.00/Year,2020-05-11,2020-09-02,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9318265,,
138,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE SENIOR,certified,No,68494.00/Year,2020-05-11,2020-10-01,"denver,CO",https://h1bsalary.online//extended_lca_data.php?LCADataID=9241393,,
20,DELOITTE TOUCHE LLP,ADVISORY SENIOR SOLUTION ADVISOR,certified,No,93206.00/Year,2020-05-11,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9238400,,
373,DELOITTE TOUCHE LLP,AUDIT ASSISTANT MANAGER,certified,No,55224.00-55224.01/Year,2020-05-11,2020-11-01,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9241218,,
374,DELOITTE TOUCHE LLP,AUDIT ASSISTANT MANAGER,certified,No,55224.00-55224.01/Year,2020-05-11,2020-11-01,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9245540,,
258,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,59987.00/Year,2020-05-08,2020-10-01,"cleveland,OH",https://h1bsalary.online//extended_lca_data.php?LCADataID=9234536,,
380,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,54974.00/Year,2020-05-07,2020-09-10,"indianapolis,IN",https://h1bsalary.online//extended_lca_data.php?LCADataID=9341098,,
482,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,46966.00/Year,2020-05-07,2020-10-01,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9365140,,
10,DELOITTE TOUCHE LLP,ADVISORY SPECIALIST LEADER,certified,No,109158.00/Year,2020-05-06,2020-10-01,"detroit,MI",https://h1bsalary.online//extended_lca_data.php?LCADataID=9231017,,
143,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE IN-CHARGE,certified,No,67267.00/Year,2020-05-05,2020-10-22,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9236871,,
493,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE IN-CHARGE,certified,No,43950.00/Year,2020-05-05,2020-09-25,"hermitage,TN",https://h1bsalary.online//extended_lca_data.php?LCADataID=9340444,,
300,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59634.00/Year,2020-05-05,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9237239,,
301,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,59634.00/Year,2020-05-04,2020-09-03,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9364003,,
375,DELOITTE TOUCHE LLP,AUDIT ASSISTANT MANAGER,certified - withdrawn,No,55224.00-55224.01/Year,2020-05-04,2020-11-01,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9365681,,
376,DELOITTE TOUCHE LLP,AUDIT ASSISTANT MANAGER,certified - withdrawn,No,55224.00-55224.01/Year,2020-05-04,2020-11-01,"tamuning,GU",https://h1bsalary.online//extended_lca_data.php?LCADataID=9365719,,
144,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE SENIOR,certified,No,67267.00/Year,2020-05-04,2020-09-10,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9364063,,
268,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59862.00/Year,2020-05-04,2020-09-26,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9230666,,
8,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE SENIOR MANAGER - CS SUPPORT,certified,No,111051.00/Year,2020-04-30,2020-10-01,"stamford,CT",https://h1bsalary.online//extended_lca_data.php?LCADataID=9227086,,
378,DELOITTE TOUCHE LLP,ADVISORY SOLUTION DEVELOPER,certified,No,54990.00/Year,2020-04-28,2020-10-01,"gilbert,AZ",https://h1bsalary.online//extended_lca_data.php?LCADataID=9223581,,
379,DELOITTE TOUCHE LLP,SOLUTION DEVELOPER,certified,No,54990.00/Year,2020-04-28,2020-10-07,"gilbert,AZ",https://h1bsalary.online//extended_lca_data.php?LCADataID=9362578,,
4,DELOITTE TOUCHE LLP,ADVISORY MANAGER,certified,No,122829.00/Year,2020-04-21,2020-09-15,"jersey city,NJ",https://h1bsalary.online//extended_lca_data.php?LCADataID=9313087,,
175,DELOITTE TOUCHE LLP,SOLUTION DELIVERY ANALYST,certified,No,63748.00/Year,2020-04-17,2020-09-02,"arlington,VA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9215962,,
9,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE MANAGER,certified,No,109366.00/Year,2020-04-13,2020-10-04,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9204254,,
21,DELOITTE TOUCHE LLP,ADVISORY MANAGER,certified,No,93206.00/Year,2020-04-13,2020-10-01,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9202501,,
84,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,74355.00/Year,2020-04-08,2020-09-29,"stamford,CT",https://h1bsalary.online//extended_lca_data.php?LCADataID=9309592,,
366,DELOITTE TOUCHE LLP,SOLUTION DELIVERY ANALYST,certified,No,56457.00/Year,2020-04-08,2020-08-29,"lake mary,FL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9194997,,
334,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,58822.00/Year,2020-04-07,2020-08-22,"mclean,VA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9197035,,
475,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,47570.00/Year,2020-04-07,2020-09-22,"atlanta,GA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9357051,,
195,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,63170.00/Year,2020-04-07,2020-09-18,"houston,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9201747,,
237,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-04-06,2020-09-11,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9193477,,
184,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,63419.00/Year,2020-04-03,2020-09-22,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9192653,,
80,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE IN-CHARGE,certified,No,75462.00/Year,2020-04-03,2020-09-16,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9356271,,
28,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,88920.00/Year,2020-04-03,2020-08-16,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9356308,,
47,DELOITTE TOUCHE LLP,AUDIT AND ASSURANCE IN-CHARGE,certified,No,79768.00/Year,2020-04-03,2020-09-12,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9356425,,
331,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59176.00/Year,2020-04-03,2020-08-05,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9193490,,
303,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59634.00/Year,2020-04-03,2020-09-06,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9356465,,
317,DELOITTE TOUCHE LLP,AUDIT ASSISTANT,certified,No,59634.00/Year,2020-04-03,2020-08-14,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9198296,,
404,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,53040.00/Year,2020-04-02,2020-09-19,"houston,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9356116,,
64,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-04-02,2020-09-19,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9191427,,
91,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,73944.00/Year,2020-04-02,2020-08-25,"chicago,IL",https://h1bsalary.online//extended_lca_data.php?LCADataID=9191188,,
197,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,62650.00/Year,2020-04-02,2020-09-21,"atlanta,GA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9190096,,
238,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified - withdrawn,No,61672.00/Year,2020-04-02,2020-09-11,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9191702,,
150,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,67217.00/Year,2020-04-01,2020-09-12,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9331821,,
318,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,59634.00/Year,2020-04-01,2020-09-19,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9189219,,
347,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,57283.00/Year,2020-03-31,2020-08-05,"costa mesa,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9061559,,
424,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,51667.00/Year,2020-03-31,2020-09-17,"charlotte,NC",https://h1bsalary.online//extended_lca_data.php?LCADataID=9072732,,
408,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,52957.00/Year,2020-03-31,2020-08-30,"philadelphia,PA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9061071,,
409,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ASSISTANT,certified,No,52957.00/Year,2020-03-31,2020-09-08,"philadelphia,PA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9067230,,
220,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,61672.00/Year,2020-03-31,2020-09-10,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9061006,,
115,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,71718.00/Year,2020-03-31,2020-08-28,"seattle,WA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9121666,,
120,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,70741.00/Year,2020-03-30,2020-08-26,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9068718,,
125,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,70741.00/Year,2020-03-30,2020-08-29,"dallas,TX",https://h1bsalary.online//extended_lca_data.php?LCADataID=9121533,,
129,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,69971.00/Year,2020-03-30,2020-08-11,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9115553,,
86,DELOITTE TOUCHE LLP,LEAD DATA ENGINEER,certified,No,74339.00/Year,2020-03-30,2020-08-06,"morrisville,NC",https://h1bsalary.online//extended_lca_data.php?LCADataID=9121448,,
83,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,74734.00/Year,2020-03-30,2020-08-19,"stamford,CT",https://h1bsalary.online//extended_lca_data.php?LCADataID=9067911,,
81,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,75364.00/Year,2020-03-30,2020-08-26,"jersey city,NJ",https://h1bsalary.online//extended_lca_data.php?LCADataID=9154852,,
78,DELOITTE TOUCHE LLP,AUDIT & ASSURANCE ARA SENIOR,certified,No,75462.00/Year,2020-03-30,2020-08-15,"san jose,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9070808,,
110,DELOITTE TOUCHE LLP,SENIOR SOLUTION DELIVERY LEAD,certified,No,71781.00/Year,2020-03-30,2020-09-18,"mechanicsburg,PA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9115317,,
101,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,73195.00/Year,2020-03-30,2020-08-25,"tulsa,OK",https://h1bsalary.online//extended_lca_data.php?LCADataID=9115751,,
65,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-03-30,2020-08-25,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9155049,,
66,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-03-30,2020-08-25,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9121555,,
67,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-03-30,2020-08-26,"parsippany,NJ",https://h1bsalary.online//extended_lca_data.php?LCADataID=9121557,,
72,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76190.00/Year,2020-03-30,2020-08-14,"san francisco,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9115727,,
57,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,76898.00/Year,2020-03-30,2020-08-12,"new york,NY",https://h1bsalary.online//extended_lca_data.php?LCADataID=9068667,,
49,DELOITTE TOUCHE LLP,ADVISORY CONSULTANT,certified,No,79435.00/Year,2020-03-30,2020-08-29,"atlanta,GA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9155026,,
39,DELOITTE TOUCHE LLP,ADVISORY SENIOR CONSULTANT,certified,No,81224.00/Year,2020-03-30,2020-08-23,"costa mesa,CA",https://h1bsalary.online//extended_lca_data.php?LCADataID=9071991,,
